case,scenario_id,pre_storage_eue_mwh,residual_eue_bound_mwh,storage_sufficiency_ratio,m1c_eue_mwh,m2_eue_mwh,m3_eue_mwh,bound_minus_m3_mwh,m1c_minus_m3_mwh,m2_minus_m3_mwh
VRE120_base_dur2h_ls1p225,5,81228.91549487515,40369.63383910774,0.5030139994709801,40369.63383910776,40369.63383910775,40369.63383910776,-2.1827872842550278e-11,0.0,-7.275957614183426e-12
VRE120_base_dur2h_ls1p225,6,60665.02679730013,26487.670907542357,0.5633782377440377,26487.670907542357,26487.670907542353,26487.670907542357,0.0,0.0,-3.637978807091713e-12
VRE120_base_dur2h_ls1p225,7,57487.99752202512,21628.89315036543,0.6237668020689214,21628.893150365435,21628.89315036543,21628.89315036543,0.0,3.637978807091713e-12,0.0
VRE120_base_dur2h_ls1p225,8,44595.80222045012,10770.844616201946,0.7584785096373308,10770.844616201946,10770.84461620195,10770.84461620195,-3.637978807091713e-12,-3.637978807091713e-12,0.0
VRE120_base_dur2h_ls1p225,9,27991.0437389001,4632.222122346189,0.8345105611082079,4632.22212234618,4632.222122346177,4632.222122346177,1.2732925824820995e-11,3.637978807091713e-12,0.0
VRE120_base_dur2h_ls1p225,10,36683.77278642511,7262.34688989427,0.8020283537307887,7262.346889894264,7262.346889894263,7262.346889894265,5.4569682106375694e-12,-9.094947017729282e-13,-1.8189894035458565e-12
VRE120_base_dur2h_ls1p225,11,64053.38539745014,24517.16634954043,0.6172385550363679,24517.16634954044,24517.166349540435,24517.166349540435,-7.275957614183426e-12,3.637978807091713e-12,0.0
VRE120_base_dur2h_ls1p225,12,36080.9523602501,7117.678353103867,0.8027303081682146,7117.67835310387,7117.678353103866,7117.678353103866,9.094947017729282e-13,3.637978807091713e-12,0.0
VRE120_base_dur2h_ls1p225,13,43639.12524987513,11370.53177214427,0.7394418034954354,11370.53177214427,11370.531772144266,11370.531772144268,1.8189894035458565e-12,1.8189894035458565e-12,-1.8189894035458565e-12
VRE120_base_dur2h_ls1p225,14,32853.39313065009,8765.827011213485,0.7331835108673893,8765.827011213487,8765.827011213481,8765.827011213481,3.637978807091713e-12,5.4569682106375694e-12,0.0
VRE120_base_dur2h_ls1p225,15,64687.892558075124,33637.05571022697,0.4800100238227967,33637.05571022696,33637.05571022696,33637.05571022696,7.275957614183426e-12,0.0,0.0
VRE120_base_dur2h_ls1p225,16,42502.05097517513,8405.778491146193,0.8022265208788184,8405.778491146182,8405.778491146175,8405.778491146177,1.6370904631912708e-11,5.4569682106375694e-12,-1.8189894035458565e-12
VRE120_base_dur2h_ls1p225,17,30146.54750185011,4639.650704028878,0.8460967809416936,4639.650704028873,4639.650704028868,4639.650704028866,1.1823431123048067e-11,7.275957614183426e-12,1.8189894035458565e-12
VRE120_base_dur2h_ls1p225,18,55811.918137600136,18409.820168957755,0.6701453599288648,18409.820168957755,18409.82016895774,18409.820168957747,7.275957614183426e-12,7.275957614183426e-12,-7.275957614183426e-12
VRE120_base_dur2h_ls1p225,19,47044.61566422512,13190.333998167356,0.7196207512393838,13190.333998167342,13190.333998167342,13190.333998167343,1.2732925824820995e-11,-1.8189894035458565e-12,-1.8189894035458565e-12
VRE120_base_dur2h_ls1p225,20,52504.90177057514,12034.387844934652,0.7707949650583105,12034.387844934652,12034.387844934652,12034.387844934652,0.0,0.0,0.0
VRE120_base_dur4h,1,29464.531872399966,1779.4778133961372,0.93960610604294,1779.4778133961363,1779.4778133961336,1779.4778133961331,4.092726157978177e-12,3.183231456205249e-12,4.547473508864641e-13
VRE120_base_dur4h,2,40276.92264119996,2522.274648130762,0.9373766791817734,2522.2746481307568,2522.274648130755,2522.2746481307545,7.73070496506989e-12,2.2737367544323206e-12,4.547473508864641e-13
VRE120_base_dur4h,3,35615.93109359997,2519.0376033961365,0.9292721676494708,2519.0376033961284,2519.037603396134,2519.0376033961334,3.183231456205249e-12,-5.002220859751105e-12,4.547473508864641e-13
VRE120_base_dur4h,4,49491.39154559995,7004.091136661504,0.8584785976323148,7004.091136661507,7004.091136661509,7004.091136661509,-5.4569682106375694e-12,-1.8189894035458565e-12,0.0
VRE120_base_dur4h,5,54383.20719439995,9712.357466792258,0.8214088876355865,9712.357466792266,9712.357466792264,9712.357466792264,-5.4569682106375694e-12,1.8189894035458565e-12,0.0
VRE120_base_dur4h,6,39633.035714399964,8239.837850261509,0.7920967268407424,8239.837850261514,8239.837850261509,8239.83785026151,-1.8189894035458565e-12,3.637978807091713e-12,-1.8189894035458565e-12
VRE120_base_dur4h,7,36566.712325199966,676.5770517961282,0.981497460155042,676.5770517961282,676.57705179613,676.5770517961292,-1.0231815394945443e-12,-1.0231815394945443e-12,7.958078640513122e-13
VRE120_base_dur4h,8,24945.436746799973,3.637978807091713e-12,0.9999999999999999,0.0,0.0,0.0,3.637978807091713e-12,0.0,0.0
